id,class,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temperature,insolation_flux,stellar_effective_temperature,stellar_surface_gravity,stellar_radius,ra,dec
15502,CANDIDATE,5.5867425,2.46,15688.0,13.0389,888.0,103.299,5444.0,4.4,1.02,320.802718,53.141253
15504,CANDIDATE,3.5595352,1.027,3006.0,5.24582,777.0,60.7503,5669.0,4.5,0.94,6.756339,29.487271
15505,CANDIDATE,3.7752321,1.465,7352.0,10.759,874.0,96.9264,5585.0,4.26,1.22,337.043134,49.57365
15506,CANDIDATE,3.563037,1.66,4185.0,7.13684,1035.0,190.511,4490.0,4.43,0.85,1.612331,37.855275
15507,CANDIDATE,2.8953095,4.137,5366.0,12.6737,1974.0,2522.62,6526.0,3.97,1.98,325.466208,50.502238
15508,CANDIDATE,8.6738593,2.582,5327.0,12.6434,899.0,108.749,6446.0,4.09,1.72,354.917734,44.262228
15509,CANDIDATE,3.1989808,0.785,1860.0,7.20813,947.0,133.516,6442.9,4.18,1.54,359.665284,33.820508
15510,CANDIDATE,3.6119975,4.013,11983.0,10.1678,1588.0,1057.47,5979.0,4.46,1.03,334.179666,58.213671
15511,CANDIDATE,3.7294859,3.315,7112.0,9.77695,1351.0,553.409,5719.9,4.26,1.24,13.638808,43.848313
15512,CANDIDATE,3.6166109,2.711,7012.0,14.0162,1801.0,1746.66,8143.0,4.2,1.85,6.521798,49.599174
15513,CANDIDATE,3.8311803,1.892,1170.0,5.75003,1592.0,1067.42,5366.0,4.5,0.9,9.199556,16.097112
15514,CONFIRMED,5.0988038,1.0252822,2925.8222433,3.0503381,538.1908458,19.827421,3633.0,4.80423,0.547453,142.173446,-12.167165
15515,CANDIDATE,3.1923193,1.548,5162.0,13.949,1056.0,206.861,6003.0,3.96,1.83,22.108031,32.136961
15518,CANDIDATE,25.1745344,4.865,2786.0,6.78671,654.0,30.5175,5776.9,4.16,1.41,5.599869,24.866985
15519,CANDIDATE,4.0673088,2.623,10855.0,13.1156,1259.0,417.756,6333.0,4.35,1.24,330.888658,50.567867
15520,CANDIDATE,3.9089363,4.636,7390.0,15.0353,1579.0,1032.67,5800.0,3.91,1.87,342.532851,45.253782
15521,CANDIDATE,13.1471808,4.471,7691.0,9.63171,832.0,79.8277,5670.0,4.3,1.18,343.516055,44.912913
15522,FALSE POSITIVE,9.7712443,3.956,34227.0,15.2558,891.0,104.782,5294.0,4.61,0.79,355.540075,31.793315
15523,CANDIDATE,5.2266285,5.412,6662.0,15.6275,1584.0,1046.27,6205.0,3.91,2.0,331.838189,53.519585
15524,CANDIDATE,0.747693,0.684,3434.0,6.17927,1256.0,414.266,4825.0,4.47,0.86,339.463592,45.159958
15525,CANDIDATE,3.1123343,2.388,6080.0,22.1621,2556.0,7091.97,7850.0,4.08695,1.92,134.718341,-43.452796
15526,CANDIDATE,7.8580085,6.999,4378.0,21.4783,1529.0,908.368,6406.0,3.46,3.5,331.562453,52.26862
15527,CANDIDATE,10.3473602,2.365,7695.0,10.117,694.0,38.6952,5672.0,4.33,1.14,10.011395,24.379676
15528,CANDIDATE,3.6444426,3.296,6276.0,19.0899,1832.0,1872.26,5407.0,3.86,1.88,349.05622,45.012568
15529,CANDIDATE,2.3921761,2.792,8040.0,12.2947,1587.0,1055.22,5817.0,4.04,1.63,333.73428,48.876577
15530,CANDIDATE,7.0346299,2.565,3746.0,17.638,1338.0,533.148,8294.0,3.97,2.44,318.857399,56.119827
15531,CANDIDATE,2.0323202,2.786,8896.0,15.3325,2345.0,5028.16,8011.0,4.27,1.68,335.039505,51.55615
15532,CANDIDATE,29.5406035,3.382,13065.0,10.9471,523.0,12.4858,6315.0,4.58,0.94,344.620982,57.4528
15533,CANDIDATE,3.0365848,3.089,8184.0,17.0668,1504.0,850.609,5928.0,3.84,2.06,315.223413,54.962464
15534,CANDIDATE,5.1570194,2.42,16586.0,12.0548,743.0,50.6137,4476.1,4.38,0.89,5.111293,48.767772
15535,CANDIDATE,2.4784193,1.687,3910.0,12.5391,1313.0,493.403,6115.0,4.04,1.69,345.655117,50.104928
15536,CONFIRMED,6.4025295,3.9233956,3814.9508945,9.3002413,1274.2263616,623.0276834,7056.0,4.33435,1.4072,125.305054,-46.484296
15537,CANDIDATE,19.6518502,2.525,3125.0,8.79457,635.0,27.0742,6359.0,4.15,1.56,331.110391,49.687144
15538,CANDIDATE,9.8326403,4.827,2767.0,6.80252,1084.0,229.607,5966.4,4.18,1.41,26.657289,22.743059
15539,CANDIDATE,9.4321076,3.852,7052.0,11.0911,1077.0,223.365,6704.0,4.28,1.43,4.699535,22.354492
15540,CONFIRMED,3.8553342,1.895,6624.0,4.94518,708.0,41.8646,3909.0,4.65,0.6,355.950598,33.067236
15541,CANDIDATE,1.5554236,1.916,18149.0,13.1166,1438.0,711.089,5318.0,4.39,1.01,341.866559,52.395133
15542,CANDIDATE,8.555965,1.865,12373.0,5.09342,394.0,4.00885,3376.0,4.79,0.44,0.485039,35.997774
15543,CANDIDATE,3.8857292,1.928,6215.0,13.8034,1106.0,248.774,6084.0,3.99,1.79,354.340737,47.288669
15544,CANDIDATE,3.0922512,1.936,44139.0,15.731,790.0,64.8463,3661.0,4.59,0.68,14.531835,29.985566
15545,CANDIDATE,3.3338016,2.902,5100.0,15.1293,1926.0,2284.74,7894.0,4.04,2.17,342.040487,48.548498
15546,CANDIDATE,4.6071277,2.266,17579.0,10.6145,851.0,87.2497,4928.0,4.52,0.82,2.417089,28.243677
15547,FALSE POSITIVE,7.574675,3.0847866,6208.0649305,13.4069567,1216.0774804,516.8517446,6422.0,4.20608,1.4885499,148.720293,-23.332118
15548,CANDIDATE,4.3518774,3.284,6682.0,12.0164,1419.0,673.068,6496.3,4.15,1.61,345.943472,49.366393
15549,CANDIDATE,24.8366994,4.793,10898.0,8.57154,700.0,40.0666,6334.0,4.63,0.89,325.354929,61.441916
15550,CANDIDATE,9.8538051,4.048,14768.0,13.3007,887.0,102.929,5634.0,4.35,1.11,4.066146,49.186384
15551,CANDIDATE,3.7069545,2.38,7766.0,12.7103,1328.0,517.456,6643.0,4.23,1.49,358.489622,52.533524
15552,CANDIDATE,6.6283182,4.344,5378.0,9.65916,1133.0,273.774,5528.0,4.16,1.35,5.069168,49.465936
15553,CANDIDATE,7.8209807,1.183,15145.0,14.2139,717.0,43.9112,5917.0,4.76,0.71,4.219134,20.432785
15554,CANDIDATE,3.3045926,1.322,8637.0,12.7666,967.0,145.508,6102.0,4.22,1.38,359.188611,28.610076
15555,CANDIDATE,4.1533998,3.857,6043.0,15.5058,1661.0,1266.49,6866.0,3.96,2.11,332.675965,48.652765
15556,CANDIDATE,5.7419523,2.08,7850.0,9.81505,839.0,82.5797,5396.0,4.21,1.26,355.002821,40.682684
15557,CANDIDATE,6.0749198,2.728,6328.0,10.0564,968.0,146.106,5643.0,4.13,1.43,350.434421,54.112156
15558,CONFIRMED,2.7443216,3.42,10071.0,20.1852,2388.0,5405.6,8730.0,4.19,1.97,74.552333,9.997979
15559,CANDIDATE,1.1797412,3.391,7122.0,11.867,2713.0,8997.74,6393.0,4.16,1.55,339.623242,50.524911
15560,CANDIDATE,3.7812464,2.13,2521.0,4.97462,1001.0,167.006,5209.0,4.4,0.99,17.082679,25.652576
15561,FALSE POSITIVE,5.6020298,1.893,6146.0,11.3612,857.0,89.7874,5750.6,4.14,1.44,2.950371,27.442815
15562,CANDIDATE,3.5653226,1.7,902.0,2.88847,1028.0,185.407,5715.0,4.45,1.0,329.089206,54.466274
15563,CANDIDATE,2.5553078,2.332,12879.0,15.4336,1349.0,551.23,5739.2,4.22,1.3,343.553201,52.383764
15564,CANDIDATE,3.2149937,0.7022664,1438.82974,0.9044272,419.7777463,7.3383538,3106.0,5.00517,0.236457,88.699253,80.094614
15565,CANDIDATE,6.7786403,1.8963943,1146.3653641,13.8147158,1865.9861388,2865.1981035,7665.0,3.86,2.5943999,356.621626,81.378061
15566,CANDIDATE,24.091624,4.759,521.0,2.87574,810.0,72.6894,6675.0,4.24,1.49,323.582256,72.757634
15567,CANDIDATE,3.8528933,2.2041562,8132.2415444,18.8912058,1424.9944393,974.4816829,6306.0,4.267,1.35595,342.410629,46.349983
15568,CANDIDATE,1092.002299,5.604929,1689.5997267,3.1384101,133.1248776,0.0742263,4813.0,4.57884,0.751037,101.492034,66.890644
15569,CANDIDATE,15.5739143,2.4269262,779.9193691,2.5864246,548.952136,21.461443,4813.0,4.57884,0.751037,101.492034,66.890644
15570,CONFIRMED,4.786958,4.936,8390.0,18.0112,1933.0,2320.18,7668.6,4.13,1.91,130.505638,3.710566
15571,CANDIDATE,1076.6094165,6.7803831,626.6130191,2.7512261,185.93669,0.2824759,5848.0,4.38886,1.08752,357.351836,36.900456
15572,CONFIRMED,12.7614706,1.0497761,1215.2495801,0.9705763,299.5067987,1.9017251,3376.0,4.9613,0.269427,3.957914,13.557617
15573,CANDIDATE,2.1077445,1.779,33127.0,12.0414,871.0,95.8765,3954.0,4.61,0.65,171.596707,28.058028
15574,CANDIDATE,9.2347348,0.9619972,354.6074958,1.3883495,830.9542977,112.6755159,4902.0,4.59853,0.744485,253.697283,60.702797
15575,CANDIDATE,1.5361137,1.1370302,543.7767369,2.4339573,1387.7681435,876.5741465,5317.0,4.50528,0.885814,14.322777,37.02898
15576,CONFIRMED,0.2381823,0.4763536,493.9763957,0.9617386,1256.4567156,588.9943508,3423.0,4.85554,0.369077,331.503161,39.298828
15577,CANDIDATE,7.9945503,4.7645363,484.9830269,3.4801634,1071.8303891,311.9071042,6088.0,4.27,1.30233,359.933006,77.803731
15578,CANDIDATE,6.5452014,4.1931124,356.0286213,2.5553163,1183.0274647,462.9139946,6353.0,4.29887,1.31864,293.323467,76.921694
15579,CANDIDATE,0.5570869,0.9916975,995.2172114,1.2151478,946.4067108,189.5973427,3392.0,4.84507,0.380156,13.085379,20.938876
15580,CANDIDATE,3.2376482,2.038,698.0,5.6488,2052.0,2947.16,10023.0,4.17,2.19,140.115658,-51.660455
15581,CONFIRMED,4.4010465,4.757,6903.0,19.7441,2177.0,3731.9,8489.0,4.03,2.32,108.123114,-24.95356
15582,CANDIDATE,2.3898191,2.766,210.0,2.32849,2181.0,3762.79,7707.0,4.11,1.96,140.595793,-6.060635
15583,CANDIDATE,5.4920894,2.934,3962.0,8.83359,1124.0,265.101,6090.0,4.12,1.53,132.055241,-39.686292
15584,CANDIDATE,1.4945947,2.71,280.0,2.79068,3377.0,21608.7,9532.0,4.34,1.75,129.158047,-36.523174
15585,CANDIDATE,3.0178746,2.679,193.0,0.930891,1162.0,303.499,4717.0,4.61,0.71,139.199747,-49.300844
15586,CANDIDATE,5.6928845,4.261,291.0,3.80626,1529.0,908.509,6610.0,3.79,2.47,111.523899,-52.4632
15587,CANDIDATE,5.7935723,3.395,133.0,1.50725,1278.0,444.131,6387.1,4.27,1.37,151.627588,3.474358
15588,CANDIDATE,4.1793325,3.012,102.0,1.20236,1431.0,697.716,6387.1,4.27,1.37,151.627588,3.474358
15589,CANDIDATE,2.7895524,1.969,262.0,0.986147,1227.0,376.853,5039.0,4.62,0.74,155.597851,-28.847487
15590,CANDIDATE,733.9910938,4.719,1675.0,4.8141,660.0,31.6587,5699.6,4.24,1.27,142.17927,-14.686449
15591,CANDIDATE,2.8959153,1.7993552,7042.9351957,13.8781874,1590.3293135,1511.7126877,6249.0,4.22232,1.4101501,156.121019,-23.004169
15592,CONFIRMED,4.3744614,3.0484494,3270.9828556,6.4637765,1154.2148636,419.4378829,5677.0,4.34735,1.11563,154.271062,-25.276298
15593,FALSE POSITIVE,1.13889,2.154,5368.19,22.4869,3157.0,16504.7,7852.8,4.08,2.79,81.92358,7.918525
15594,CANDIDATE,4.2275389,4.4305716,8677.549547,14.8654685,1438.7795714,1012.7402087,6001.0,4.09439,1.56496,155.032187,-29.276109
15596,CANDIDATE,2.5141406,2.5419014,3574.8850313,17.7772903,2016.7718944,3909.7422133,6880.0,4.08875,1.82496,149.91844,-6.906064
15597,CONFIRMED,3.052057,3.4817792,9403.0926011,13.6453428,1461.1955966,1077.3440583,5726.0,4.16246,1.38708,180.546219,-35.548609
15598,CANDIDATE,1.1109316,1.9803068,2227.4346262,12.8052345,2914.7025766,17056.8166564,6498.6,3.67,2.3323801,164.76388,-60.082938
15599,CONFIRMED,6.2462252,4.2508361,13270.5292659,13.4614756,1094.4656337,339.10135,6132.0,4.38741,1.1417201,164.34914,-29.997123
15600,CONFIRMED,6.2031608,1.5987379,210.8404349,1.0214599,664.0808611,45.9626286,4633.87,4.70763,0.630715,175.256304,-44.404149
15601,CONFIRMED,4.466068,1.6847832,210.7032691,0.9794583,740.9408412,71.2287197,4633.87,4.70763,0.630715,175.256304,-44.404149
15602,CANDIDATE,7.8708661,1.6355898,190.7947353,1.0314874,613.4104018,33.4599699,4633.87,4.70763,0.630715,175.256304,-44.404149
15603,CANDIDATE,3.3733921,2.8544595,16371.2496269,14.5810502,1252.9258952,582.4015776,5704.0,4.36494,1.09866,150.46383,-55.660373
15604,CONFIRMED,7.5337657,5.5843836,4697.1753086,10.611119,1156.0846131,422.1623374,5869.0,4.09453,1.52905,176.249942,-35.640563
15605,FALSE POSITIVE,5.1681189,3.736,1759.0,13.3663,1850.0,1947.87,8254.0,3.67,3.44,168.212865,-58.942432
15606,CONFIRMED,3.4076,3.69,7500.0,12.1343,1586.0,1052.9,6174.0,4.23,1.38,99.263061,1.76755
15607,FALSE POSITIVE,15.9865412,1.636,1451.0,7.52088,761.0,55.7095,6429.0,4.34,1.28,145.174365,-66.65449
15608,CANDIDATE,1.0542548,1.271,423.0,2.77385,2240.0,4181.02,4160.1,4.37,0.87,172.378524,-40.609425
15609,CANDIDATE,12.4751631,3.937,236.0,1.56473,1010.0,172.89,6055.0,4.41,1.09,47.031443,-70.110459
15610,CANDIDATE,51.6708185,3.449,4697.0,12.8776,466.0,7.89484,7115.0,4.07,1.91,143.84218,-65.216181
15611,CANDIDATE,3.4475935,1.731,320.0,0.830466,659.0,31.3617,3548.0,4.77,0.47,150.350107,-38.841039
15612,CANDIDATE,6.8581311,5.186,2790.0,10.9703,1459.0,753.001,6605.0,3.92,2.12,24.21772,51.631573
15613,FALSE POSITIVE,5.6289226,9.272,1850.0,8.93102,2289.0,4560.18,6683.0,3.72,2.72,346.44125,72.410554
15614,CANDIDATE,1.640758,1.326,2129.0,8.61251,1456.0,747.202,6262.0,4.16,1.52,37.963775,28.96601
15615,CANDIDATE,18.0370154,2.356,8355.0,7.85944,491.0,9.70594,5400.0,4.55,0.85,10.159796,52.654408
15616,CANDIDATE,3.7077543,2.662,9913.0,11.5364,1175.0,317.476,5620.2,4.4,1.04,32.619714,43.97503
15617,CONFIRMED,8.7179665,6.143,2420.0,12.3121,1937.0,2341.09,9165.0,4.05,2.38,95.827908,0.883347
15618,CANDIDATE,17.6037996,3.574,882.0,2.74615,614.0,23.7402,5265.0,4.43,0.96,327.341524,67.029549
15620,CANDIDATE,0.8236066,1.71,1090.0,5.5335,2331.0,4901.54,6202.0,4.06,1.69,44.089561,43.092213
15621,CANDIDATE,13.3673993,3.63,10278.0,9.61997,623.0,25.0292,4831.0,4.4,0.93,48.022366,28.46468
15622,FALSE POSITIVE,405.0756576,5.339,15337.0,9.31573,137.0,0.0601025,4831.0,4.4,0.93,48.022366,28.46468
15623,CANDIDATE,9.288704,3.019,14044.0,9.62284,673.0,34.2291,4753.0,4.57,0.75,345.824668,60.311149
15624,CANDIDATE,1106.220834,3.759,6252.0,14.786,119.0,0.0333828,6199.0,4.07,1.67,52.225799,46.443043
15625,CANDIDATE,4.2234273,4.384,7945.0,14.4033,1717.0,1446.04,6696.0,4.04,1.88,28.291856,60.223815
15626,CANDIDATE,4.2771464,3.867,6104.0,13.316,1622.0,1149.87,6707.0,4.03,1.91,20.561956,56.778196
15627,FALSE POSITIVE,2.8577028,2.264,2695.0,7.78724,1468.0,771.67,6240.0,4.2,1.45,12.471055,60.946038
15628,CANDIDATE,4.7089027,0.942,2426.0,6.86414,577.0,18.4286,4351.7,4.41,0.85,28.003018,50.920939
15629,CANDIDATE,4.9091704,4.042,13100.0,20.5266,1668.0,1286.54,7210.5,4.11,1.7,90.916011,-19.04084
15630,CANDIDATE,2.8976822,1.973,7602.0,20.1303,1448.0,731.624,7006.0,4.01,2.03,354.657826,60.267245
15631,CANDIDATE,7.1436336,5.668,5205.0,11.4874,1498.0,837.098,6604.0,4.01,1.92,22.406592,46.759351
15632,CANDIDATE,2.8465714,1.419,16671.0,12.8225,881.0,100.235,4802.0,4.5,0.83,47.27712,37.076087
15633,CANDIDATE,9.4852479,2.713,32417.0,12.3024,488.0,9.45481,3848.0,4.63,0.63,46.78065,40.147174
15634,CANDIDATE,3.645356,4.787,4942.0,12.1687,1567.0,1002.22,5421.0,3.95,1.7,34.397563,36.837055
15635,CANDIDATE,6.6245939,2.751,3526.0,8.74267,962.0,142.438,5874.0,4.24,1.29,8.097282,54.21074
15636,CANDIDATE,3.662222,4.253,4017.0,13.3765,1588.0,1055.67,5826.0,3.82,2.08,14.39173,56.978183
15637,CANDIDATE,2.4589458,1.553,31394.0,12.6341,728.0,46.8448,3810.0,4.63,0.62,36.45054,42.154578
15638,CANDIDATE,1.7555108,1.355,13415.0,10.7893,916.0,117.332,4249.0,4.48,0.78,36.235853,52.415794
15639,CANDIDATE,28.8005547,3.773,7292.0,12.6164,566.0,17.1246,6051.0,4.18,1.44,329.700784,63.055112
15640,FALSE POSITIVE,2.5950747,0.7921274,665.2502774,5.9382555,2204.616037,5582.8100399,6852.0,3.91,2.24201,105.945472,-30.726357
15641,CANDIDATE,3.3528597,2.08,1762.0,3.27543,836.0,81.3622,3896.8,4.51,0.71,37.761117,25.41329
15642,CANDIDATE,6.2808216,3.366,7787.0,10.0476,1029.0,186.513,5602.0,4.31,1.15,16.048838,60.302633
15643,CANDIDATE,16.8498547,3.778,3933.0,15.5178,937.0,128.166,7823.0,4.05,2.14,357.612316,65.815495
15644,CANDIDATE,4.9570983,6.687,4860.0,15.9349,2417.0,5671.62,8120.6,3.9,2.62,46.504292,47.461389
15645,CANDIDATE,3.1777383,3.922,8754.0,19.2706,1993.0,2620.94,7233.0,4.02,2.06,355.682379,62.468362
15646,CANDIDATE,4.4532909,6.572,2866.0,13.8211,1736.0,1510.03,5613.0,3.49,2.97,6.18687,58.468546
15647,CANDIDATE,3.0057526,3.594,12169.0,17.9698,2049.0,2928.62,7581.0,4.2,1.74,25.177088,61.00972
15648,CANDIDATE,4.244335,1.969,18385.0,7.13409,585.0,19.463,3518.0,4.74,0.5,26.193227,34.244089
15649,CANDIDATE,5.8310296,0.682,2116.0,7.23053,501.0,10.4888,5617.5,4.48,0.95,34.270304,44.586989
15650,CANDIDATE,3.2964006,3.959,5999.0,16.9987,1597.0,1080.06,5883.0,3.83,2.09,34.500986,62.763401
15651,FALSE POSITIVE,1.5521101,2.699,5430.0,208.489,2376.0,5297.55,4997.1,2.36,12.23,113.454773,-61.292453
15652,CANDIDATE,3.6360128,4.088,14704.0,18.9197,1641.0,1204.47,6358.0,4.19,1.49,15.527657,46.387227
15653,CANDIDATE,2.9086778,2.887,10323.0,12.2888,1340.0,536.747,5401.0,4.27,1.18,40.539435,53.555802
15654,CANDIDATE,4.2807899,3.9,5943.0,11.9706,1511.0,865.407,6274.0,4.09,1.65,351.297539,60.094591
15655,CANDIDATE,4.071096,2.988,5872.0,13.9361,1288.0,456.955,6008.0,4.03,1.68,32.555,32.983439
15656,CONFIRMED,0.2792211,0.409,779.0,1.05678,1143.0,284.211,3358.0,4.93,0.3,330.844543,67.498677
15657,CANDIDATE,3.7307609,1.587,12648.0,6.78569,851.0,87.4596,5273.1,4.96,0.52,53.673187,37.694688
15658,CANDIDATE,2.3556749,3.351,9377.0,16.7502,1971.0,2508.24,6708.0,4.1,1.75,14.976875,49.034174
15659,CANDIDATE,10.4612769,3.208,9238.0,9.72119,716.0,43.6657,5208.2,4.5,0.88,20.689977,43.994453
15660,CANDIDATE,16.672227,2.703,3851.0,11.748,715.0,43.5589,7025.0,4.18,1.68,38.399932,49.169461
15661,CANDIDATE,15.2334037,1.947,3624.0,13.7686,521.0,12.2874,5675.0,4.1,1.48,8.484783,60.084331
15662,FALSE POSITIVE,4.503645,1.973292,12525.725237,11.197034,623.8430401,35.7949977,3267.0,4.438,1.0,134.088088,-12.934871
15663,CANDIDATE,6.8498533,1.525,33133.0,10.4676,392.0,3.94674,3522.0,4.76,0.48,22.167982,53.686078
15664,CANDIDATE,5.4454541,3.41,5731.0,7.92255,1148.0,289.299,5684.0,4.4,1.05,27.889954,43.666558
15665,CANDIDATE,1.6630135,3.133,5964.0,16.7474,2294.0,4598.31,6690.3,3.97,2.04,54.977131,34.459515
15666,CANDIDATE,2.7205913,2.321,905.0,3.02214,1416.0,668.663,5784.6,4.49,0.96,33.346292,26.544538
15667,CANDIDATE,3.8363055,7.175,3861.0,18.8534,2762.0,9673.97,5982.0,3.65,2.6,33.870091,35.357237
15668,CANDIDATE,4.7924038,6.012,2562.0,11.263,1785.0,1688.16,6176.0,3.63,2.75,5.886949,67.775723
15669,CANDIDATE,39.810528,3.576,3102.0,12.8908,713.0,43.1032,8796.0,4.04,2.34,3.403959,56.184657
15670,CANDIDATE,6.8793455,1.299,16480.0,9.84834,468.0,7.99212,3993.0,4.58,0.69,30.509108,37.891483
15671,CANDIDATE,1.4491171,1.051,23384.0,10.794,736.0,48.8379,3581.0,4.65,0.6,45.959667,40.324556
15672,CANDIDATE,2.5938771,2.706,974.0,4.93408,1642.0,1208.93,6110.0,4.12,1.55,19.790736,59.099961
15673,FALSE POSITIVE,0.49359,1.545897,246.702105,1.733849,2352.530056,7238.7191072,5872.0,4.43995,1.02918,151.55755,3.946493
15674,CANDIDATE,8.2686298,4.906,3650.0,15.9425,1212.0,359.275,6275.0,3.77,2.38,340.83699,70.336784
15675,CANDIDATE,2.7182588,1.682,12333.0,20.77,1248.0,402.801,6433.0,4.15,1.59,12.644164,61.046232
15676,CANDIDATE,9.3568116,1.117,28673.0,13.6687,481.0,8.92217,5866.0,4.89,0.61,33.348951,36.521995
15677,FALSE POSITIVE,14.5877856,3.517,3374.0,10.1617,840.0,82.7417,6544.0,4.13,1.66,322.717404,68.495293
15678,CANDIDATE,3.5297965,3.283,11120.0,15.5125,1393.0,625.677,5846.0,4.12,1.48,23.775141,47.751006
15679,CANDIDATE,6.2378654,3.174,1802.0,4.55893,974.0,149.586,5301.0,4.41,0.99,21.908515,51.710954
15680,CANDIDATE,6.3111727,3.039,14495.0,14.8439,941.0,130.71,5531.0,4.31,1.14,62.78581,56.194956
15681,CANDIDATE,3.9332583,4.438,5042.0,14.1242,1779.0,1666.08,6699.9,4.04,1.89,61.169664,34.186114
15682,CANDIDATE,3.6894234,2.085,5484.0,16.5011,1103.0,246.061,5776.0,4.03,1.63,82.298002,57.656327
15683,CANDIDATE,2.7934699,2.8,2479.0,5.70537,1456.0,746.786,5635.0,4.27,1.21,66.202403,53.128211
15684,FALSE POSITIVE,0.493379,1.5,194.341058,1.503946,2338.3980084,7066.3432823,5914.0,4.46485,1.00635,146.72453,-4.29824
15685,CANDIDATE,2.4766677,2.457,9727.0,11.4749,1578.0,1029.38,6197.6,4.4,1.14,61.411126,50.053394
15687,CANDIDATE,7.4562671,1.682,3106.0,6.40887,760.0,55.5163,5822.0,4.51,0.95,61.460788,64.254302
15688,CANDIDATE,2.5048108,3.434,6195.0,12.5335,1789.0,1701.78,6080.0,4.07,1.62,63.193935,46.761464
15689,CANDIDATE,18.7541398,3.925,6338.0,11.641,773.0,59.4985,6681.2,4.31,1.37,78.043429,53.706778
15690,FALSE POSITIVE,1.0617107,1.067,2369.0,5.85456,1533.0,916.847,5589.0,4.38,1.06,79.724105,47.54723
15691,CANDIDATE,3.7799201,3.493,16559.0,16.2502,1419.0,674.743,6121.6,4.38,1.14,67.605011,56.394465
15692,CANDIDATE,5.1941869,1.581,5955.0,10.8037,846.0,85.2496,6085.6,4.43,1.08,77.588903,39.673657
15693,CANDIDATE,5.3802465,3.538,3829.0,13.5242,1342.0,538.751,6476.4,3.97,1.98,62.800827,43.600898
15694,CANDIDATE,2.4398136,3.751,4363.0,11.128,2587.0,7439.71,8184.6,4.29,1.67,63.165074,50.15895
15695,FALSE POSITIVE,0.417921,1.843947,41644.893112,5.657227,906.2084598,159.3798634,3278.0,4.97806,0.275,123.885413,-31.556521
15696,CANDIDATE,1.9765848,1.347,3430.0,8.95604,1419.0,674.183,6799.0,4.41,1.25,59.368818,64.321242
15697,CANDIDATE,5.9419732,2.361,21804.0,12.3895,798.0,67.643,5206.0,4.56,0.81,71.453407,57.272036
15698,CANDIDATE,6.0602101,3.036,8917.0,11.0384,1110.0,252.333,6252.0,4.35,1.22,77.761817,62.67788
15699,CANDIDATE,6.583694,4.635,4902.0,19.1169,1385.0,611.047,6600.9,3.8,2.45,86.155099,50.377688
15700,CANDIDATE,25.8866192,3.737,13915.0,11.2641,544.0,14.5766,5326.0,4.6,0.8,2.732086,78.899729
15701,CANDIDATE,3.0496565,3.455,6761.0,13.7764,1489.0,817.877,5568.0,4.08,1.5,67.575991,48.320207
15703,CANDIDATE,2.1653281,2.732,18747.0,7.31275,970.0,146.971,3510.0,4.71,0.54,75.559559,48.741856
15704,FALSE POSITIVE,1.6197991,0.95,31095.0,11.4253,661.0,31.7825,3192.0,4.92,0.31,86.975303,41.942327
15705,CANDIDATE,13.2329062,6.245,3001.0,7.5049,1155.0,295.457,6461.3,4.11,1.67,69.250535,49.614861
15707,CANDIDATE,2.9124991,4.175,7343.0,16.4233,1792.0,1711.93,6051.0,3.94,1.89,46.542182,57.075669
15708,CANDIDATE,1.8597817,1.156,5579.0,13.3278,1119.0,260.966,5751.0,4.19,1.35,52.613744,61.635772
15709,CANDIDATE,6.5587386,2.196,1396.0,2.56709,653.0,30.3163,4337.0,4.63,0.66,84.480806,35.294717
15710,CANDIDATE,4.9613647,4.318,6047.0,14.2376,1532.0,916.634,6592.0,4.1,1.72,82.782624,60.386769
15711,CANDIDATE,4.5944948,3.482,10846.0,14.2928,1264.0,424.183,5890.0,4.24,1.3,13.872298,73.464164
15712,CANDIDATE,3.0679061,2.645,7144.0,15.0074,1534.0,921.092,6632.0,4.12,1.7,43.041829,63.639521
15713,CANDIDATE,4.7185893,5.576,3868.0,12.5103,1664.0,1274.32,6039.7,3.86,2.06,68.709655,55.889117
15714,FALSE POSITIVE,1.6513066,0.82,1751.0,9.54979,1086.0,231.366,5887.6,4.13,1.47,77.869302,37.923226
15715,CANDIDATE,12.9589981,3.683,16753.0,11.9733,775.0,60.044,5925.0,4.52,0.94,45.819803,59.308616
15716,CANDIDATE,1.5057127,0.244,5373.0,12.1483,482.0,9.00759,4335.0,4.65,0.64,71.496006,57.313785
15717,FALSE POSITIVE,0.493826,1.162615,310.570859,1.940277,2459.534554,8648.339203,6030.0,4.41585,1.08524,147.86736,-4.123323
15718,CANDIDATE,5.1404883,1.988,2896.0,5.66149,824.0,76.7777,5155.0,4.44,0.93,48.459307,65.26786
15719,CANDIDATE,8.9270275,2.409,2360.0,4.54883,765.0,56.8769,5492.0,4.56,0.85,85.719553,44.670005
15720,CANDIDATE,35.3712924,1.907,4376.0,13.0539,391.0,3.89814,6702.0,4.35,1.32,78.499921,33.283238
15721,CONFIRMED,1.7904917,1.223,47315.0,11.4109,660.0,31.6712,3425.0,4.78,0.46,60.424695,60.891368
15722,CANDIDATE,2.4810218,1.541,24673.0,8.87122,715.0,43.5124,3691.0,4.65,0.6,102.684596,40.872865
15723,CANDIDATE,2.8895991,3.647,13586.0,18.732,1767.0,1619.54,6451.9,4.19,1.51,105.777773,39.551429
